ID	UID	FID	download_date
1	107	306	2003-02-04 19:30:08
2	107	306	2003-02-04 19:43:03
3	107	259	2003-02-04 19:43:33
4	107	259	2003-02-05 07:35:14
5	110	308	2003-02-05 10:32:43
6	107	306	2003-02-05 15:09:11
7	107	309	2003-02-05 15:09:59
8	109	312	2003-02-05 18:46:41
9	1	312	2003-02-05 20:39:49
10	114	306	2003-02-05 20:41:15
11	109	312	2003-02-06 06:06:26
12	109	314	2003-02-06 06:11:23
13	116	314	2003-02-06 06:13:23
14	116	314	2003-02-06 06:22:57
15	116	313	2003-02-06 06:24:36
16	116	315	2003-02-10 15:29:53
17	116	317	2003-03-05 12:26:14
18	113	318	2003-03-10 13:19:32
19	1	332	2003-03-12 21:06:29
20	113	332	2003-03-12 21:07:06
21	113	332	2003-03-12 21:07:25
22	113	310	2003-03-12 21:09:24
23	113	332	2003-03-12 21:19:09
24	113	333	2003-03-12 21:19:17
25	113	334	2003-03-12 21:25:40
26	113	333	2003-03-12 21:26:13
27	113	335	2003-03-12 21:29:48
28	1	336	2003-03-13 08:19:07
29	1	336	2003-03-13 08:19:54
30	116	337	2003-03-13 12:55:23
31	116	337	2003-03-13 12:55:42
32	118	338	2003-03-24 12:28:38
33	131	339	2003-03-25 13:24:53
34	131	339	2003-03-25 13:25:10
35	118	338	2003-03-26 13:26:59
36	118	338	2003-03-26 13:33:04
37	118	338	2003-03-26 13:33:35
38	118	338	2003-03-26 13:44:31
39	118	341	2003-03-26 14:25:08
40	135	342	2003-03-26 14:58:00
41	134	342	2003-03-26 19:36:54
42	134	342	2003-03-26 19:38:25
43	134	342	2003-03-26 19:59:07
44	134	342	2003-03-26 20:05:02
45	134	342	2003-03-26 20:06:49
46	131	343	2003-03-28 13:47:19
47	124	344	2003-03-28 14:00:43
48	135	347	2003-03-28 16:09:58
49	135	347	2003-03-28 16:10:06
50	135	347	2003-03-28 16:10:10
51	135	348	2003-03-28 16:13:55
53	135	348	2003-03-29 14:55:47
586	140	728	2003-06-11 08:46:51
572	1	728	2003-06-10 09:46:43
587	146	733	2003-06-11 08:49:05
558	161	728	2003-06-09 18:26:29
590	129	747	2003-06-12 02:46:40
584	140	725	2003-06-11 08:39:43
576	140	725	2003-06-11 03:44:23
23138	122	14053	2006-05-18 15:24:40
585	140	726	2003-06-11 08:43:09
1941	123	1522	2003-08-20 08:34:14
20952	233	12705	2006-02-13 07:43:27
35550	390	26267	2008-07-01 15:27:03
22865	122	14025	2006-05-01 14:30:47
1053	215	956	2003-07-08 09:38:52
3329	215	2590	2003-11-19 11:42:40
1796	228	1479	2003-08-12 08:16:57
1862	129	1507	2003-08-14 10:14:07
1903	123	1522	2003-08-16 09:43:16
26011	376	16534	2006-11-15 13:46:45
1968	123	1564	2003-08-22 06:49:48
1893	129	1519	2003-08-15 07:57:15
1902	129	1527	2003-08-15 18:16:13
1987	123	1522	2003-08-22 09:32:48
23411	122	13926	2006-06-06 16:37:09
4725	121	3710	2004-03-10 09:32:29
4994	235	3922	2004-03-30 08:44:04
22832	239	14022	2006-05-01 08:09:39
11502	272	7483	2005-03-30 13:15:25
22973	122	14135	2006-05-08 07:11:32
22826	122	14025	2006-05-01 07:03:04
24786	375	15509	2006-09-11 14:05:30
4689	118	3595	2004-03-08 10:35:58
25812	386	16334	2006-11-06 11:29:49
23097	122	14135	2006-05-16 09:54:08
29145	416	19545	2007-05-10 15:28:14
8091	1	5903	2004-11-10 10:46:39
25055	375	15714	2006-09-22 13:10:58
24979	375	15541	2006-09-19 09:07:21
22831	238	14025	2006-05-01 08:07:12
24978	375	15617	2006-09-19 09:06:31
23061	222	14218	2006-05-15 15:27:46
22718	238	13954	2006-04-25 07:25:30
25001	381	15704	2006-09-20 07:41:40
21625	233	13342	2006-03-13 08:06:23
23011	122	14113	2006-05-08 15:33:44
25042	375	15718	2006-09-21 15:17:22
22889	238	13954	2006-05-03 10:58:34
24844	375	15577	2006-09-13 08:51:18
25775	376	16020	2006-11-03 09:40:22
26007	376	16529	2006-11-15 12:11:52
29506	389	19903	2007-05-29 15:37:48
25172	375	15733	2006-09-28 08:26:45
21607	233	13342	2006-03-10 15:47:39
7982	217	5868	2004-11-03 09:01:53
25810	386	16333	2006-11-06 10:56:40
22710	122	13954	2006-04-25 07:13:38
25043	375	15526	2006-09-21 15:17:51
24933	309	15657	2006-09-18 07:26:52
23857	309	14831	2006-07-06 07:59:59
22798	122	14004	2006-04-28 07:14:43
20267	122	12365	2006-01-25 11:39:49
24916	386	15634	2006-09-15 13:55:36
43148	474	33336	2009-11-02 09:31:16
21338	239	13159	2006-02-27 09:04:46
22723	238	13926	2006-04-25 07:27:41
11398	307	7437	2005-03-27 14:42:28
22830	238	14004	2006-05-01 08:04:36
25025	375	15714	2006-09-20 13:35:48
45665	400	35504	2010-05-07 10:49:30
22829	238	13992	2006-05-01 08:03:36
22717	238	13926	2006-04-25 07:25:19
25063	380	15747	2006-09-22 15:39:08
